"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","216","TC-52 | Sending empty request","","Sat May 10 17:24:48 WEST 2025","passed","Sat May 10 17:24:48 WEST 2025","","/api/v1/otp/send test suite","",""
"","699","TC-99 | Action parameter missing","","Sat May 10 17:25:16 WEST 2025","failed","Sat May 10 17:25:17 WEST 2025","","/api/v1/contracts test suite","",""
"","230","TC-79 | Long language code","","Sat May 10 17:24:59 WEST 2025","passed","Sat May 10 17:25:00 WEST 2025","","/api/v1/otp/send test suite","",""
"","188","TC-53 | Sending OTP without phone number, email","","Sat May 10 17:24:48 WEST 2025","passed","Sat May 10 17:24:49 WEST 2025","","/api/v1/otp/send test suite","",""
"","372","TC-103 | RIB Beneficiary Invalid","","Sat May 10 17:25:17 WEST 2025","passed","Sat May 10 17:25:18 WEST 2025","","/api/v1/contracts test suite","",""
"","84","TC-87 | Identifier w/ special characters","","Sat May 10 17:25:05 WEST 2025","passed","Sat May 10 17:25:05 WEST 2025","","/api/v1/otp/verify test suite","",""
"","599","TC-64 | Email without @","","Sat May 10 17:24:52 WEST 2025","failed","Sat May 10 17:24:53 WEST 2025","","/api/v1/otp/send test suite","",""
"","651","TC-65 | Email w/ more @","","Sat May 10 17:24:53 WEST 2025","failed","Sat May 10 17:24:54 WEST 2025","","/api/v1/otp/send test suite","",""
"","151","TC-91 | Long OTP","","Sat May 10 17:25:06 WEST 2025","passed","Sat May 10 17:25:06 WEST 2025","","/api/v1/otp/verify test suite","",""
"","211","TC-77 | Inexistant language code","","Sat May 10 17:24:58 WEST 2025","passed","Sat May 10 17:24:59 WEST 2025","","/api/v1/otp/send test suite","",""
"","690","TC-105 | Update with a customerId doesn't exist","","Sat May 10 17:25:18 WEST 2025","failed","Sat May 10 17:25:19 WEST 2025","","/api/v1/contracts test suite","",""
"","99","TC-80 | Verify OTP with valid data","","Sat May 10 17:25:03 WEST 2025","passed","Sat May 10 17:25:03 WEST 2025","","/api/v1/otp/verify test suite","",""
"","46","TC-84 | Verify OTP with incorrect password","","Sat May 10 17:25:04 WEST 2025","passed","Sat May 10 17:25:04 WEST 2025","","/api/v1/otp/verify test suite","",""
"","563","TC-67 | Email not string","","Sat May 10 17:24:54 WEST 2025","failed","Sat May 10 17:24:55 WEST 2025","","/api/v1/otp/send test suite","",""
"","424","TC-63 | Phone number not string","","Sat May 10 17:24:52 WEST 2025","failed","Sat May 10 17:24:52 WEST 2025","","/api/v1/otp/send test suite","",""
"","198","TC-61 | Short phone number","","Sat May 10 17:24:51 WEST 2025","passed","Sat May 10 17:24:52 WEST 2025","","/api/v1/otp/send test suite","",""
"","323","TC-90 | Verify OTP with missing OTP","","Sat May 10 17:25:06 WEST 2025","failed","Sat May 10 17:25:06 WEST 2025","","/api/v1/otp/verify test suite","",""
"","326","TC-55 | Sending OTP w/ Local Phone Number w/o mail","","Sat May 10 17:24:49 WEST 2025","passed","Sat May 10 17:24:49 WEST 2025","","/api/v1/otp/send test suite","",""
"","445","TC-51 | Send another request with same number/email","","Sat May 10 17:24:48 WEST 2025","passed","Sat May 10 17:24:48 WEST 2025","","/api/v1/otp/send test suite","",""
"","104","TC-100 | Missing customerId","","Sat May 10 17:25:17 WEST 2025","passed","Sat May 10 17:25:17 WEST 2025","","/api/v1/contracts test suite","",""
"","328","TC-86 | Verify OTP with missing identifier","","Sat May 10 17:25:05 WEST 2025","failed","Sat May 10 17:25:05 WEST 2025","","/api/v1/otp/verify test suite","",""
"","532","TC-81 | Verify OTP with expired OTP","","Sat May 10 17:25:03 WEST 2025","failed","Sat May 10 17:25:04 WEST 2025","","/api/v1/otp/verify test suite","",""
"","336","TC-82 | Verify an old OTP after creating a new one","","Sat May 10 17:25:04 WEST 2025","failed","Sat May 10 17:25:04 WEST 2025","","/api/v1/otp/verify test suite","",""
"","202","TC-62 | Alphanumeric phone number","","Sat May 10 17:24:52 WEST 2025","passed","Sat May 10 17:24:52 WEST 2025","","/api/v1/otp/send test suite","",""
"","238","TC-71 | Bank code w/ special characters","","Sat May 10 17:24:56 WEST 2025","passed","Sat May 10 17:24:57 WEST 2025","","/api/v1/otp/send test suite","",""
"","101","TC-102 | Product code missing","","Sat May 10 17:25:17 WEST 2025","passed","Sat May 10 17:25:17 WEST 2025","","/api/v1/contracts test suite","",""
"","81","TC-92 | Invalid OTP format","","Sat May 10 17:25:06 WEST 2025","passed","Sat May 10 17:25:06 WEST 2025","","/api/v1/otp/verify test suite","",""
"","164","TC-104 | Invalid action parameter","","Sat May 10 17:25:18 WEST 2025","passed","Sat May 10 17:25:18 WEST 2025","","/api/v1/contracts test suite","",""
"","54","TC-88 | Long identifier","","Sat May 10 17:25:05 WEST 2025","passed","Sat May 10 17:25:05 WEST 2025","","/api/v1/otp/verify test suite","",""
"","223","TC-60 | Long phone number","","Sat May 10 17:24:51 WEST 2025","passed","Sat May 10 17:24:51 WEST 2025","","/api/v1/otp/send test suite","",""
"","69","TC-83 | Verify OTP with nonexistent identifier","","Sat May 10 17:25:04 WEST 2025","passed","Sat May 10 17:25:04 WEST 2025","","/api/v1/otp/verify test suite","",""
"","325","TC-107 | Create contract with an unverified customer","","Sat May 10 17:25:19 WEST 2025","failed","Sat May 10 17:25:19 WEST 2025","","/api/v1/contracts test suite","",""
"","2823","TC-50 | Send a request for OTP with valid data","","Sat May 10 17:24:45 WEST 2025","passed","Sat May 10 17:24:48 WEST 2025","","/api/v1/otp/send test suite","",""
"","220","TC-66 | Long email","","Sat May 10 17:24:54 WEST 2025","passed","Sat May 10 17:24:54 WEST 2025","","/api/v1/otp/send test suite","",""
"","5119","TC-97 | Create contract with a client that already has a contract","","Sat May 10 17:25:11 WEST 2025","failed","Sat May 10 17:25:16 WEST 2025","","/api/v1/contracts test suite","",""
"","622","TC-58 | Sending OTP w/ Phone Number not respecting form w/ email","","Sat May 10 17:24:50 WEST 2025","failed","Sat May 10 17:24:51 WEST 2025","","/api/v1/otp/send test suite","",""
